DateTime,Junction,Vehicles,ID
2015-11-01T00:00:00.000Z,1,15,20151101001
2015-11-01T01:00:00.000Z,1,13,20151101011
2015-11-01T02:00:00.000Z,1,10,20151101021
2015-11-01T03:00:00.000Z,1,7,20151101031
2015-11-01T04:00:00.000Z,1,9,20151101041
2015-11-01T05:00:00.000Z,1,6,20151101051
2015-11-01T06:00:00.000Z,1,9,20151101061
2015-11-01T07:00:00.000Z,1,8,20151101071
2015-11-01T08:00:00.000Z,1,11,20151101081
2015-11-01T09:00:00.000Z,1,12,20151101091
2015-11-01T10:00:00.000Z,1,15,20151101101
2015-11-01T11:00:00.000Z,1,17,20151101111
2015-11-01T12:00:00.000Z,1,16,20151101121
2015-11-01T13:00:00.000Z,1,15,20151101131
2015-11-01T14:00:00.000Z,1,16,20151101141
2015-11-01T15:00:00.000Z,1,12,20151101151
2015-11-01T16:00:00.000Z,1,12,20151101161
2015-11-01T17:00:00.000Z,1,16,20151101171
2015-11-01T18:00:00.000Z,1,17,20151101181
2015-11-01T19:00:00.000Z,1,20,20151101191
2015-11-01T20:00:00.000Z,1,17,20151101201
2015-11-01T21:00:00.000Z,1,19,20151101211
2015-11-01T22:00:00.000Z,1,20,20151101221
2015-11-01T23:00:00.000Z,1,15,20151101231
2015-11-02T00:00:00.000Z,1,14,20151102001
2015-11-02T01:00:00.000Z,1,12,20151102011
2015-11-02T02:00:00.000Z,1,14,20151102021
2015-11-02T03:00:00.000Z,1,12,20151102031
2015-11-02T04:00:00.000Z,1,12,20151102041
2015-11-02T05:00:00.000Z,1,11,20151102051
2015-11-02T06:00:00.000Z,1,13,20151102061
2015-11-02T07:00:00.000Z,1,14,20151102071
2015-11-02T08:00:00.000Z,1,12,20151102081
2015-11-02T09:00:00.000Z,1,22,20151102091
2015-11-02T10:00:00.000Z,1,32,20151102101
2015-11-02T11:00:00.000Z,1,31,20151102111
2015-11-02T12:00:00.000Z,1,35,20151102121
2015-11-02T13:00:00.000Z,1,26,20151102131
2015-11-02T14:00:00.000Z,1,34,20151102141
2015-11-02T15:00:00.000Z,1,30,20151102151
2015-11-02T16:00:00.000Z,1,27,20151102161
2015-11-02T17:00:00.000Z,1,27,20151102171
2015-11-02T18:00:00.000Z,1,24,20151102181
2015-11-02T19:00:00.000Z,1,26,20151102191
2015-11-02T20:00:00.000Z,1,29,20151102201
2015-11-02T21:00:00.000Z,1,32,20151102211
2015-11-02T22:00:00.000Z,1,30,20151102221
2015-11-02T23:00:00.000Z,1,27,20151102231
2015-11-03T00:00:00.000Z,1,21,20151103001
2015-11-03T01:00:00.000Z,1,18,20151103011
2015-11-03T02:00:00.000Z,1,19,20151103021
2015-11-03T03:00:00.000Z,1,13,20151103031
2015-11-03T04:00:00.000Z,1,11,20151103041
2015-11-03T05:00:00.000Z,1,11,20151103051
2015-11-03T06:00:00.000Z,1,11,20151103061
2015-11-03T07:00:00.000Z,1,14,20151103071
2015-11-03T08:00:00.000Z,1,15,20151103081
2015-11-03T09:00:00.000Z,1,29,20151103091
2015-11-03T10:00:00.000Z,1,33,20151103101
2015-11-03T11:00:00.000Z,1,32,20151103111
2015-11-03T12:00:00.000Z,1,32,20151103121
2015-11-03T13:00:00.000Z,1,29,20151103131
2015-11-03T14:00:00.000Z,1,27,20151103141
2015-11-03T15:00:00.000Z,1,26,20151103151
2015-11-03T16:00:00.000Z,1,28,20151103161
2015-11-03T17:00:00.000Z,1,26,20151103171
2015-11-03T18:00:00.000Z,1,25,20151103181
2015-11-03T19:00:00.000Z,1,29,20151103191
2015-11-03T20:00:00.000Z,1,26,20151103201
2015-11-03T21:00:00.000Z,1,24,20151103211
2015-11-03T22:00:00.000Z,1,25,20151103221
